Country,ISO,Currency,Value
Afghanistan,AFN,Afghani,78.3664
Ägypten,EGP,Ägyptisches Pfund,54.0113
Albanien,ALL,Lek,103.9116
Algerien,DZD,Algerischer Dinar,147.1198
Angola,AOA,Angolischer Kwanza,914.2762
Anguilla,XCD,Ostkaribischer Dollar,2.9560
Antigua und Barbuda,XCD,Ostkaribischer Dollar,2.9560
Äquatorial Guinea,XAF,CFA Franc (Äquatorial),657.9891
Argentinien,ARS,Argentinischer Peso,925.9435
Armenien,AMD,Dram,441.3852
Aruba,AWG,Aruba-Florin,1.9725
Aserbeidschan,AZN,Aserbeidschan Manat,1.8603
Äthiopien,ETB,Birr,62.0764
Bahamas,BSD,Bahama-Dollar,1.0943
Bahrain,BHD,Bahrain-Dinar,0.4123
Bangladesch,BDT,Taka,120.0548
Barbados,BBD,Barbados-Dollar,2.1886
Belarus (Weissrussland),BYN,Belarus Rubel,3.5799
Belize,BZD,Belize-Dollar,2.2077
Benin,XOF,CFA Franc (West),655.7822
Bermuda,BMD,Bermuda-Dollar,1.0943
Bhutan,BTN,Ngultrum,90.4696
Bolivien,BOB,Boliviano,7.5680
Bosnien und Herzegowina,BAM,Konvertierbare Mark,1.9556
Botsuana,BWP,Pula,14.8462
Brunei Darussalam,BND,Brunei-Dollar,1.4562
Burkina Faso,XOF,CFA Franc (West),655.7822
Burundi,BIF,Burundi-Franc,3133.5072
Chile,CLP,Chilenischer Peso,1052.5256
Chile,CLF,Unidades De Fomento,0.0383
Costa Rica,CRC,Costa Rica Colon,559.1173
Cote D'Ivoire (Elfenbeinkueste),XOF,CFA Franc (West),655.7822
Curaçao,ANG,Niederländische Antillen Gulden,1.9645
Dominica,XCD,Ostkaribischer Dollar,2.9560
Dominikanische Republik,DOP,Dominikanischer Peso,64.4073
Dschibuti,DJF,Dschibuti-Franc,194.5256
El Salvador,SVC,El Salvador Colon,9.5703
Eritrea,ERN,Nakfa,0.2156
Eswatini,SZL,Lilangeni,20.4887
Falklandinseln (Malvinen),FKP,Falkland Pfund,0.8512
Fidschi,FJD,Fidschi Dollar,2.4407
Französisch Polynesien,XPF,CFP Franc,119.3274
Gabun,XAF,CFA Franc (Äquatorial),657.9891
Gambia,GMD,Dalasi,74.3356
Georgien,GEL,Lari,2.9026
Ghana,GHS,Ghana Cedi,13.9947
Gibraltar,GIP,Gibraltar Pfund,0.8512
Grenada,XCD,Ostkaribischer Dollar,2.9560
Guatemala,GTQ,Quetzal,8.5409
Guinea,GNF,Guinea Franc,9397.5281
Guinea-Bissau,XOF,CFA Franc (West),655.7822
Guyana,GYD,Guyana Dollar,228.7629
Haiti,HTG,Gourde,144.9405
Honduras,HNL,Lempira,27.0001
Irak,IQD,Irak Dinar,1432.9317
Iran,IRR,Rial,46003.7975
Jamaika,JMD,Jamaika Dollar,169.7179
Jemen,YER,Jemen Rial,273.9174
Jordanien,JOD,Jordan-Dinar,0.7758
Kaimaninseln,KYD,Kaiman-Dollar,0.9114
Kambodscha,KHR,Riel,4434.6503
Kamerun,XAF,CFA Franc (Äquatorial),657.9891
Kap Verde,CVE,Kap Verde Escudo,110.2926
Kasachstan,KZT,Tenge Kasachstan,488.9814
Katar,QAR,Katar Riyal,3.9844
Kenia,KES,Kenia Schilling,155.6803
Kirgisistan,KGS,Som,97.8620
Kolumbien,COP,Kolumbianischer Peso,4274.3400
Komoren,KMF,Komoren Franc,491.9446
Kongo,XAF,CFA Franc (Äquatorial),657.9891
"Kongo, Demokratische Republik",CDF,Franc Congolais,3031.1006
"Korea, Demokratische Volksrepublik",KPW,Nordkoreanischer Won,147.7287
Kuba,CUP,Kubanischer Peso,27.7615
Kuba,CUC,Peso Convertible,1.0943
Kuwait,KWD,Kuwait Dinar,0.3359
Laos,LAK,Lao Kip,22837.6538
Lesotho,LSL,Loti,20.5036
Libanon,LBP,Libanesisches Pfund,98057.9997
Liberien,LRD,Liberianischer Dollar,210.5795
Libysch-Arabische Dschamahirija,LYD,Libyscher Dinar,5.2655
Macao,MOP,Pataca,8.8105
Madagaskar,MGA,Madagaskar Ariary,4900.3596
Malawi,MWK,Malawi Kwacha,1840.7960
Malediven,MVR,Rufiyaa,16.8364
Mali,XOF,CFA Franc (West),655.7822
Marokko,MAD,Dirham,10.9638
Mauretanien,MRO,Ouguiya,414.0221
Mauretanien,MRU,Ouguiya,43.6509
Mauritius,MUR,Mauritius Rupie,50.0855
"Moldau, Republik",MDL,Moldau Leu,19.3096
Mongolei,MNT,Tugrik,3747.7310
Montserrat (GB-Verwaltung),XCD,Ostkaribischer Dollar,2.9560
Mosambik,MZN,Metical,69.8592
Myanmar,MMK,Kyat,2295.7269
Namibia,NAD,Namibia Dollar,20.5036
Nepal,NPR,Nepalesische Rupie,144.7471
Neukaledonien,XPF,CFP Franc,119.3274
Nicaragua,NIO,Gold-Cordoba,40.2457
